split,review_id,document_id,issue_id,issue_title,source_or_case_theme,jurisdiction_or_source,law_category,law_category_detail,stance,public_content_status
public_exam,EXTVA01,VA-01,VA-01,"Refund of unearned retainer, return of the file, and enforceability of the arbitration clause",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Professional Responsibility / Legal Ethics,Lawyer / Barrister Ethics,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA02A,VA-02,VA-02-A,"What defenses, if any, does the City have to Alton's claim? Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Tort,Medical Malpractice,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA02B,VA-02,VA-02-B,Is the City obligated to allow Alton to review the requested documents even though his attorney has not initiated formal pretrial discovery in connection with his lawsuit? Expla...,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Tort,Medical Malpractice,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA03A,VA-03,VA-03-A,"How should the Court rule on Adam's Motion to Amend the lawsuit to change the name of the defendant from ""Friar Oaks Shopping Center"" to ""IM, Inc.?"" Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Tort,Negligence / Personal Injury,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA03B,VA-03,VA-03-B,"What is the statute of limitations for Adam's cause of action against IM, Inc.? Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Tort,Negligence / Personal Injury,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA03C,VA-03,VA-03-C,"If the Court rules that the lawsuit was properly amended, how should it rule on IM, Inc.'s Plea in Bar that the statute of limitations has run against it? Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Tort,Negligence / Personal Injury,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA04A,VA-04,VA-04-A,Was the Security Agreement between Bank and CCC limited to inventory owned by CCC at the time the Agreement was executed? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA04B,VA-04,VA-04-B,"Assuming Bank's security interest did extend to CCC's after-acquired inventory, did Bank have a valid security interest in the oven against Bev during the time she owned it? Exp...",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA04C,VA-04,VA-04-C,Did CCC obtain a perfected security interest in the oven when it sold and delivered it to Bev? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA04D,VA-04,VA-04-D,"Assuming that CCC obtained a valid security interest in the oven when it was purchased by Bev, how will the Court likely rule on whether CCC can successfully assert its interest...",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA05A,VA-05,VA-05-A,May Susan refuse to pay for the original chairs that were destroyed in the fire? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA05B,VA-05,VA-05-B,"What effect, if any, does the fact that Susan waited a couple of days to call World's Best have on her position? Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA05C,VA-05,VA-05-C,"What effect, if any, does the fact that the chairs were destroyed in a fire in Susan's garage have on her position? Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA06A,VA-06,VA-06-A,What type of tenancy was created when Henry and Whitney purchased the Hot Springs home in 1981? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA06B,VA-06,VA-06-B,"What interest, if any, does Whitney have in the Hot Springs home? What interest, if any, does Bonnie have in the Hot Springs home? Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA06C,VA-06,VA-06-C,What type of tenancy was created when Henry and Sally purchased the Roanoke house? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA06D,VA-06,VA-06-D,"What interest, if any, do the following have in the Roanoke house? Sally Bonnie Whitney Explain each fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA07A,VA-07,VA-07-A,Beverly's request for payment of the arrearages? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA07B,VA-07,VA-07-B,Beverly's request for increased spousal support? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA07C,VA-07,VA-07-C,Beverly's request for an increase in child support? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA07D,VA-07,VA-07-D,Beverly's request to hold Dean in contempt? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA08A,VA-08,VA-08-A,"What rights and duties, if any, does Lonnie currently have in Primeland, and is he responsible for property taxes? Explain fully.",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA08B,VA-08,VA-08-B,"What rights and duties, if any, do Daniel and Kay currently have in Primeland and are they currently entitled to all or any portion of the income derived from the farming operat...",Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA08C,VA-08,VA-08-C,Is Donna's January 2023 Personal Property Distribution list effective under Virginia law to transfer the listed assets to the recipients identified in the document? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA08D,VA-08,VA-08-D,Who is entitled to: 1. The stamp collection? Explain fully. 2. The postcard collection? Explain fully. 3. The Piper stock? Explain fully. 4. The residue of the estate? Explain f...,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Family,Family / Domestic Relations,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA09A,VA-09,VA-09-A,The home in Suffolk? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA09B,VA-09,VA-09-B,The farm in Chesapeake? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA09C,VA-09,VA-09-C,The vacation home in Roanoke? Explain fully.,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Secured Transactions / Commercial Law,UCC / Secured Transactions,,metadata only; content appears only in excerpted sample rows
public_exam,EXTVA10A,VA-10,VA-10-A,What arguments should CSC make in support of its Motion to Amend its Answer to add the affirmative defenses? What arguments should Paige make in opposition to the Motion to Amen...,Virginia Board of Bar Examiners,Virginia / United States bar exam law,Tort,Negligence / Personal Injury,,metadata only; content appears only in excerpted sample rows
